route_id,scenario_type,v1_tot_mean,v1_tot_max,v1_grad_max,v1_front_max,v1_side_max,v1_tint,v2_logIR_mean,v2_logIR_max,v2_logmaxpair_max,v2_IR_tint,ssm_min_ttc,ssm_ttc_lt3_frac,ssm_max_drac,haz_min_dist,haz_egospeed_at_min,haz_max_closing,haz_close_frac
10857,VehicleTurningRoutePedestrian,2.2729653919042314,10.120058653134762,2.537637986799078,0.5775761140587796,2.0723052694985102,36.14014973127728,-21.230829998582728,-8.061686806545415,-8.081596345775232,3.790403981312426e-09,0.6751285676178097,0.4025157232704403,7.481898108283435,3.0020036761383992,8.465121352730607,14.152338683289175,0.44025157232704404
11381,VehicleTurningRoutePedestrian,1.3065438924691801,8.705989530230354,3.4538065514697474,1.0362013833583328,2.586900103081943,71.99056847505183,-25.509665343082244,-6.660594791982137,-6.660594791982137,8.517064629005643e-08,0.590659308160483,0.2958257713248639,6.234959093985913,3.021340564641708,10.581652910199754,15.605902959280668,0.21960072595281308
11715,EnterActorFlow,2.213615816144832,16.006977690314024,2.7416983957965164,1.461121793973881,2.831423448850439,80.35425412605741,-26.680886646828107,-4.666134430292404,-4.666134430292404,5.6266088052844245e-06,0.7597370022302126,0.29476584022038566,7.817216049007493,6.347313058818999,10.60953919696883,15.627508556509612,0.09366391184573003
11755,EnterActorFlow,0.5099300288976873,14.768864492351483,3.754164336771119,1.7113788005631638,1.627332347130333,49.208247788626835,-29.333605523105188,-8.173828536311916,-8.173828539795378,1.9683614384976198e-09,0.41383968282351763,0.08290155440414508,13.846067551551686,4.171883665211569,-0.00947111534697467,17.432184826649618,0.8217616580310881
14194,PedestrianCrossing,2.929130240021595,14.512058301084288,5.156742499854913,0.5014931088113671,3.131466458972321,44.81569267233041,-21.523249512118028,-7.98757708813835,-7.994506989630767,4.121409486356559e-09,0.45181969896518115,0.5424836601307189,10.972546369484519,2.802520406178273,9.315521119735646,15.846219863714532,0.7189542483660131
14842,VanillaSignalizedTurnEncounterGreenLight,1.869367277323394,13.703722475220218,4.998006101861404,0.42552002383807613,3.1380444417364406,40.378333190185316,-24.096808431859444,-8.419071979797016,-8.450246594292395,4.828828716204882e-09,0.4717890518382318,0.27314814814814814,9.464486934605583,2.788990619253068,9.294953359468785,11.761640115064152,0.1712962962962963
14862,VanillaSignalizedTurnEncounterGreenLight,2.9430803289760457,22.08401628840969,6.199743640779744,1.0097521405822136,3.565006381781217,64.45345920457541,-23.146436951953103,-7.658150540907759,-7.658150540907759,6.467166287436184e-09,0.5790451812643702,0.5342465753424658,7.697888009096956,3.1004998623171702,0.04588857717245036,12.754571234633401,0.3013698630136986
14909,VanillaSignalizedTurnEncounterGreenLight,1.766209407178299,18.921245989532924,5.1075639025857384,1.0424603666001795,3.5254650821870124,64.81988524344358,-27.26866808416936,-9.206175448082137,-9.206175448082137,8.415323889128463e-10,0.5759679313766924,0.22343324250681199,7.625521881879199,3.1209886459203946,-1.7557826731832305e-06,12.76132771633423,0.1444141689373297
1711,ParkingCutIn,0.7779917864721447,45.5081841756401,1.8199180484438184,0.005329046265355441,45.22821170364601,14.548446407029108,-25.34458766601563,-2.4080256967323117,-2.4080256967323117,0.0003909736774477543,0.9083416007492998,0.1925133689839572,4.7715758100325045,3.0336257926553776,6.7541801871844,10.3223484078765,0.13903743315508021
17563,SequentialLaneChange,3.6045090580582264,28.353553516200467,4.362483894942504,2.3863895156512966,3.9131410994803417,439.3896541772978,-21.139610095293115,-5.356648988188119,-5.370534736043002,5.945770070523406e-06,0.3158265767524599,0.7358490566037735,17.895253587876315,2.925085425555888,0.04835392363236322,16.652376025760933,0.9286300246103364
